date,symbol,open,high,low,close,volume
2022-08-12,CSPX.L,433.98,436.78,433.6,436.54,119367
2022-08-15,CSPX.L,439.01,441.85,436.98,439.64,27590
2022-08-16,CSPX.L,441.09,443.79,440.02,442.46,60692
2022-08-17,CSPX.L,442.77,442.94,438.5,439.12,128577
2022-08-18,CSPX.L,438.3,441.28,437.91,440.62,62422
2022-08-19,CSPX.L,438.34,439.39,434.64,435.14,33004
2022-08-22,CSPX.L,432.74,433.12,425.85,428.16,76045
2022-08-23,CSPX.L,424.34,428.18,424.25,425.78,74555
2022-08-24,CSPX.L,424.05,427.6,422.92,427.13,55959
2022-08-25,CSPX.L,430.14,430.8,426.93,428.46,27576
2022-08-26,CSPX.L,431.63,433.86,422.33,423.98,41619
2022-08-30,CSPX.L,416.11,419.24,408.54,411.61,73057
2022-08-31,CSPX.L,412.86,413.46,408.99,409.95,48415
2022-09-01,CSPX.L,404.92,406.44,401.88,403.91,90137
2022-09-02,CSPX.L,408.83,413.82,407.74,413.14,60953
2022-09-05,CSPX.L,405.39,405.96,403.62,405.05,17905
2022-09-06,CSPX.L,406.02,408.03,400.4,405.11,50364
2022-09-07,CSPX.L,402.06,406.55,401.0,405.78,38703
2022-09-08,CSPX.L,410.55,412.92,406.15,412.67,32112
2022-09-09,CSPX.L,413.65,418.58,413.65,418.14,30333
2022-09-12,CSPX.L,420.44,424.26,420.12,423.66,31567
2022-09-13,CSPX.L,425.07,428.0,409.9,410.38,66919
2022-09-14,CSPX.L,406.52,408.13,403.74,406.41,121167
2022-09-15,CSPX.L,406.72,407.92,402.55,403.84,107270
2022-09-16,CSPX.L,398.77,399.39,395.5,396.98,47867
2022-09-20,CSPX.L,402.59,403.85,396.0,397.93,48406
2022-09-21,CSPX.L,396.72,400.63,395.52,399.44,134461
2022-09-22,CSPX.L,388.27,393.46,386.42,387.52,109733
2022-09-23,CSPX.L,385.71,387.16,379.72,380.5,58935
2022-09-26,CSPX.L,377.85,382.87,377.09,378.78,204146
2022-09-27,CSPX.L,380.38,383.22,377.3,378.26,183888
2022-09-28,CSPX.L,373.59,380.86,371.14,379.77,119775
2022-09-29,CSPX.L,381.01,382.66,373.16,375.55,98505
2022-09-30,CSPX.L,376.84,379.33,372.5,377.78,169138
2022-10-03,CSPX.L,370.39,378.77,331.48,377.4,207573
2022-10-04,CSPX.L,383.37,390.38,383.06,389.94,64279
2022-10-05,CSPX.L,388.67,389.08,383.72,385.47,130792
2022-10-06,CSPX.L,389.6,391.52,386.31,388.54,246741
2022-10-07,CSPX.L,384.12,386.99,377.42,377.95,163985
2022-10-10,CSPX.L,373.42,376.95,371.78,372.82,36431
2022-10-11,CSPX.L,370.04,372.86,367.94,372.18,126944
2022-10-12,CSPX.L,372.68,373.57,368.64,370.68,113314
2022-10-13,CSPX.L,368.94,375.33,360.1,372.99,269383
2022-10-14,CSPX.L,380.46,383.73,370.81,373.42,117488
2022-10-17,CSPX.L,372.88,380.59,371.98,378.89,52941
2022-10-18,CSPX.L,385.09,388.32,380.45,381.38,84490
2022-10-19,CSPX.L,384.47,386.04,380.56,381.94,180335
2022-10-20,CSPX.L,380.47,385.44,378.61,383.49,114368
2022-10-21,CSPX.L,377.36,383.33,374.71,381.27,76463
2022-10-24,CSPX.L,387.78,391.6,384.39,389.49,116713
2022-10-25,CSPX.L,392.38,396.69,389.99,396.69,47492
2022-10-26,CSPX.L,394.69,400.49,394.22,400.49,64859
2022-10-27,CSPX.L,396.19,398.18,393.68,395.64,94989
2022-10-28,CSPX.L,389.56,400.95,388.76,398.49,165122
2022-10-31,CSPX.L,401.84,401.9,398.62,399.61,98754
2022-11-01,CSPX.L,401.95,404.14,396.54,397.82,106430
2022-11-02,CSPX.L,398.39,399.46,394.7,394.94,60524
2022-11-03,CSPX.L,387.87,389.04,381.5,385.73,160182
2022-11-04,CSPX.L,384.57,391.73,382.5,385.49,101167
2022-11-07,CSPX.L,387.12,391.89,387.0,390.93,88534
2022-11-08,CSPX.L,392.03,398.16,391.51,397.89,106574
2022-11-09,CSPX.L,394.98,396.02,390.52,392.1,79827
2022-11-10,CSPX.L,387.12,404.86,387.12,404.77,460475
2022-11-11,CSPX.L,411.33,411.88,407.24,408.15,98945
2022-11-14,CSPX.L,411.08,412.64,409.79,411.78,313318
2022-11-15,CSPX.L,411.24,417.31,410.86,415.3,179003
2022-11-16,CSPX.L,413.5,413.85,408.92,409.98,85531
2022-11-17,CSPX.L,410.73,411.41,403.51,405.04,51279
2022-11-18,CSPX.L,407.61,411.8,406.67,409.15,82501
2022-11-21,CSPX.L,407.77,410.0,406.66,407.06,30299
2022-11-22,CSPX.L,407.99,411.39,406.96,410.84,30758
2022-11-23,CSPX.L,414.18,416.41,412.96,415.78,25366
2022-11-24,CSPX.L,416.8,417.82,416.66,417.34,15800
2022-11-25,CSPX.L,417.03,417.45,415.32,416.11,31532
2022-11-28,CSPX.L,413.78,415.0,411.66,412.15,61353
2022-11-29,CSPX.L,411.28,411.82,406.9,407.71,94801
2022-11-30,CSPX.L,409.69,410.54,406.91,408.91,63983
2022-12-01,CSPX.L,421.95,423.74,418.71,421.05,94429
2022-12-02,CSPX.L,420.77,421.73,413.68,418.86,117519
2022-12-05,CSPX.L,419.56,419.84,415.13,415.6,45822
2022-12-06,CSPX.L,413.55,414.53,408.08,409.14,59735
