symbol,name,sector_code,sub_industry_code,exchange_code,asset_type,country_code,data_source, note_1
FSLR,First Solar Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FTNT,Fortinet Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
FTV,Fortive Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GD,General Dynamics Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GE,General Electric Company,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GEHC,GE HealthCare Technologies Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
GEN,Gen Digital Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
GILD,Gilead Sciences Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
GIS,General Mills Inc,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GL,Globe Life Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GLW,Corning Inc,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GM,General Motors Company,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GNRC,Generac Holdings Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GOOG,Alphabet Inc - Class C,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
GOOGL,Alphabet Inc - Class A,,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
GPC,Genuine Parts Company,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GPN,Global Payments Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GRMN,Garmin Ltd,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
GS,Goldman Sachs Group Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
